epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99125,0.70604,3.67875,0.94766,0.01502,0.68316,0.27156,0.21416,0.52449,3.6057,0.81973,0.00013,0.00013,0.00013
2,12.8611,0.63688,2.58593,0.88655,0.01559,1,0.35522,0.29149,0.58257,2.96945,0.80768,0.000264654,0.000264654,0.000264654
3,18.6207,0.62804,1.92454,0.89794,0.58257,0.1821,0.42724,0.35372,0.55522,2.69541,0.82297,0.000393764,0.000393764,0.000393764
4,24.4492,0.62182,1.58277,0.90804,0.81402,0.41443,0.59159,0.52113,0.51173,1.97103,0.80964,0.00051733,0.00051733,0.00051733
5,30.1236,0.61868,1.5129,0.90949,0.78282,0.43769,0.64716,0.54492,0.53916,2.06744,0.822,0.000635352,0.000635352,0.000635352
6,35.8534,0.59121,1.45071,0.90665,0.41659,0.6869,0.60484,0.50194,0.57172,1.69238,0.81859,0.00074783,0.00074783,0.00074783
7,41.7365,0.61326,1.34495,0.90364,0.48705,0.62211,0.61782,0.54585,0.52347,1.42459,0.80821,0.000854764,0.000854764,0.000854764
8,47.9074,0.58551,1.23327,0.90151,0.53336,0.56504,0.56236,0.49425,0.5297,1.61234,0.83474,0.0008614,0.0008614,0.0008614
9,54.2818,0.59615,1.20834,0.88929,0.41428,0.74267,0.59264,0.49158,0.5581,1.86844,0.83609,0.0008416,0.0008416,0.0008416
10,60.7714,0.58974,1.1987,0.89169,0.43948,0.85053,0.70978,0.6183,0.55541,2.79455,0.86316,0.0008218,0.0008218,0.0008218
11,66.9997,0.56195,1.13144,0.88927,0.50383,0.8041,0.75611,0.68235,0.50211,1.69393,0.82941,0.000802,0.000802,0.000802
12,72.7437,0.5469,1.10583,0.88491,0.47848,0.88291,0.78283,0.69909,0.50527,1.5015,0.84,0.0007822,0.0007822,0.0007822
13,78.3275,0.54398,1.10761,0.88511,0.55338,0.81314,0.75395,0.65932,0.51344,1.35672,0.83061,0.0007624,0.0007624,0.0007624
14,83.9923,0.54805,1.02603,0.88459,0.52733,0.89735,0.74144,0.65684,0.46909,1.05935,0.83493,0.0007426,0.0007426,0.0007426
15,89.4918,0.53645,1.0186,0.89601,0.66909,0.70687,0.77118,0.67853,0.4737,1.18679,0.82972,0.0007228,0.0007228,0.0007228
16,95.2093,0.53302,1.02248,0.89386,0.70371,0.84392,0.89776,0.77537,0.53213,1.07644,0.84316,0.000703,0.000703,0.000703
