epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9861,0.782,3.00515,0.97119,0.01471,0.98205,0.25035,0.20756,0.61203,2.84317,0.82511,0.000324074,0.000324074,0.000324074
2,32.2978,0.74634,1.8853,0.96623,0.43978,0.64069,0.39349,0.32551,0.6329,1.9383,0.87101,0.000644391,0.000644391,0.000644391
3,47.3742,0.72795,1.62169,0.95015,0.33818,0.68665,0.52373,0.44359,0.62207,2.23966,0.86814,0.000951507,0.000951507,0.000951507
4,62.197,0.69325,1.46861,0.93166,0.41203,0.51031,0.49511,0.41794,0.58711,3.14379,0.85557,0.0009406,0.0009406,0.0009406
5,76.8634,0.6502,1.3583,0.92153,0.46932,0.71746,0.68847,0.59153,0.52885,1.50907,0.844,0.0009208,0.0009208,0.0009208
6,91.716,0.65046,1.3233,0.92243,0.41923,0.79755,0.6991,0.60844,0.51018,1.07019,0.84322,0.000901,0.000901,0.000901
7,106.443,0.63278,1.20519,0.91303,0.57734,0.73307,0.71322,0.62445,0.52839,1.04135,0.83658,0.0008812,0.0008812,0.0008812
8,121.284,0.64409,1.17554,0.91511,0.51637,0.80539,0.69125,0.61517,0.48401,1.04771,0.83796,0.0008614,0.0008614,0.0008614
9,136.3,0.60725,1.08697,0.90115,0.59182,0.74554,0.71905,0.63913,0.49752,1.13455,0.84099,0.0008416,0.0008416,0.0008416
10,151.117,0.60054,1.07862,0.90169,0.73375,0.82392,0.86095,0.77705,0.46329,0.88077,0.82957,0.0008218,0.0008218,0.0008218
11,166.074,0.61341,1.04471,0.89876,0.52618,0.8969,0.78068,0.69459,0.49472,0.92304,0.83052,0.000802,0.000802,0.000802
12,180.743,0.59153,1.03533,0.89928,0.70777,0.7453,0.83158,0.74242,0.49958,0.84809,0.83876,0.0007822,0.0007822,0.0007822
13,195.374,0.59522,0.98454,0.89466,0.58884,0.71061,0.67627,0.59645,0.48985,1.72517,0.83823,0.0007624,0.0007624,0.0007624
14,210.102,0.58643,0.9354,0.89602,0.71357,0.87423,0.82104,0.74093,0.47541,0.73325,0.83389,0.0007426,0.0007426,0.0007426
15,225.246,0.57714,0.92245,0.89458,0.79352,0.78243,0.84588,0.75251,0.47743,0.67417,0.83326,0.0007228,0.0007228,0.0007228
16,240.291,0.56725,0.89987,0.89006,0.74852,0.83059,0.88404,0.79128,0.46101,0.79571,0.8325,0.000703,0.000703,0.000703
17,255.564,0.5656,0.87405,0.8896,0.6356,0.90337,0.85247,0.76684,0.48484,0.76763,0.84029,0.0006832,0.0006832,0.0006832
18,270.174,0.56971,0.82858,0.8905,0.64722,0.78951,0.84365,0.74673,0.46793,1.45834,0.8328,0.0006634,0.0006634,0.0006634
19,284.893,0.56125,0.84111,0.89105,0.6129,0.79067,0.80448,0.73181,0.44638,0.96925,0.82673,0.0006436,0.0006436,0.0006436
20,299.708,0.56624,0.82639,0.88713,0.70326,0.91447,0.8737,0.78429,0.46007,0.73437,0.8297,0.0006238,0.0006238,0.0006238
21,314.464,0.55573,0.81302,0.88575,0.71717,0.80515,0.84965,0.76478,0.44826,0.93416,0.83018,0.000604,0.000604,0.000604
22,329.123,0.54845,0.75482,0.88148,0.65192,0.77527,0.78992,0.71364,0.44507,0.87834,0.83113,0.0005842,0.0005842,0.0005842
23,343.883,0.55062,0.74123,0.88122,0.84225,0.84858,0.87931,0.79823,0.45186,0.63602,0.83217,0.0005644,0.0005644,0.0005644
24,358.543,0.54447,0.72364,0.88064,0.6934,0.86923,0.84865,0.76453,0.45987,0.9678,0.832,0.0005446,0.0005446,0.0005446
25,373.277,0.55048,0.71278,0.88593,0.71896,0.8471,0.86071,0.77572,0.4516,0.78762,0.83361,0.0005248,0.0005248,0.0005248
26,388.013,0.54262,0.70054,0.88097,0.87379,0.70088,0.89057,0.81006,0.42932,0.70371,0.82513,0.000505,0.000505,0.000505
27,402.736,0.5312,0.68233,0.87582,0.73695,0.80323,0.88031,0.8042,0.43417,0.87493,0.82466,0.0004852,0.0004852,0.0004852
