epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.855,0.74001,2.17688,1.00592,0.56708,0.94516,0.78119,0.70337,0.44359,1.48056,0.84113,0.00025005,0.00025005,0.00025005
2,3.52427,0.60199,0.96667,0.90471,0.90159,0.87262,0.91306,0.80837,0.46679,0.9423,0.86191,0.000506538,0.000506538,0.000506538
3,5.14492,0.62088,0.82216,0.91347,0.92416,0.88478,0.94295,0.83812,0.48485,0.77464,0.83224,0.000752464,0.000752464,0.000752464
4,6.71428,0.61433,0.77872,0.90802,0.72675,0.8776,0.94009,0.8597,0.44311,0.99216,0.82205,0.000987828,0.000987828,0.000987828
5,8.25728,0.58993,0.69195,0.90456,0.87438,0.87368,0.88605,0.70911,0.67058,1.0792,0.91726,0.00121263,0.00121263,0.00121263
6,9.79147,0.63492,0.74005,0.90329,0.84329,0.75978,0.90069,0.73977,0.70077,0.84565,0.90486,0.00142687,0.00142687,0.00142687
7,11.3488,0.63635,0.69309,0.90348,0.88974,0.86232,0.95023,0.85664,0.49313,0.57492,0.83718,0.00146896,0.00146896,0.00146896
8,12.8971,0.64315,0.68783,0.91234,0.92906,0.9194,0.94607,0.82818,0.52755,0.80697,0.84331,0.00143595,0.00143595,0.00143595
9,14.5006,0.59677,0.64612,0.90114,0.91204,0.80721,0.91705,0.81087,0.51917,0.88906,0.8625,0.00140295,0.00140295,0.00140295
10,16.1637,0.57141,0.63525,0.88674,0.86077,0.7833,0.87789,0.78158,0.49244,0.79821,0.84181,0.00136994,0.00136994,0.00136994
11,18.0467,0.57306,0.64329,0.89142,0.89415,0.91741,0.94706,0.84952,0.44922,0.61575,0.828,0.00133693,0.00133693,0.00133693
12,19.7309,0.58168,0.63274,0.89334,0.83508,0.86179,0.91847,0.81451,0.49436,0.65062,0.8533,0.00130393,0.00130393,0.00130393
13,21.4203,0.56524,0.58398,0.88762,0.9452,0.88425,0.92328,0.82611,0.47937,0.51041,0.85386,0.00127092,0.00127092,0.00127092
14,23.0719,0.54968,0.5497,0.88321,0.94761,0.9305,0.9583,0.88281,0.396,0.37934,0.80776,0.00123791,0.00123791,0.00123791
15,24.7802,0.52859,0.58085,0.88783,0.94062,0.95079,0.97563,0.89025,0.42416,0.36012,0.81671,0.00120491,0.00120491,0.00120491
16,26.3847,0.56083,0.57905,0.883,0.93703,0.91966,0.95422,0.86691,0.44657,0.43193,0.81822,0.0011719,0.0011719,0.0011719
17,27.9697,0.55877,0.5564,0.88325,0.9227,0.89549,0.92909,0.85027,0.43259,0.59613,0.81686,0.00113889,0.00113889,0.00113889
18,29.5287,0.54014,0.54193,0.87699,0.93597,0.95146,0.94412,0.86431,0.42887,0.44987,0.81966,0.00110589,0.00110589,0.00110589
19,31.0918,0.5316,0.52861,0.87794,0.93128,0.93236,0.96106,0.87516,0.43652,0.40029,0.82083,0.00107288,0.00107288,0.00107288
20,32.69,0.53295,0.49849,0.87688,0.93832,0.93103,0.97243,0.89652,0.40544,0.37688,0.81043,0.00103987,0.00103987,0.00103987
21,34.285,0.53884,0.51179,0.88131,0.95645,0.98447,0.97186,0.89121,0.42914,0.30668,0.81827,0.00100687,0.00100687,0.00100687
22,35.8691,0.53773,0.51193,0.883,0.91361,0.98864,0.96409,0.90654,0.37913,0.36058,0.80185,0.000973861,0.000973861,0.000973861
23,37.484,0.51863,0.48192,0.87956,0.92068,0.95329,0.9678,0.90305,0.37305,0.34963,0.80604,0.000940855,0.000940855,0.000940855
24,39.0641,0.52451,0.5049,0.88998,0.94152,0.94344,0.97737,0.89721,0.41867,0.33256,0.81934,0.000907848,0.000907848,0.000907848
25,40.6342,0.51764,0.49815,0.87039,0.95231,0.94255,0.98209,0.92365,0.35587,0.30318,0.80258,0.000874842,0.000874842,0.000874842
26,42.3212,0.52516,0.48781,0.87237,0.93989,0.95375,0.97979,0.91681,0.3837,0.30346,0.80979,0.000841835,0.000841835,0.000841835
27,43.8693,0.51324,0.48152,0.86714,0.95926,0.92753,0.979,0.91605,0.3714,0.30561,0.80572,0.000808828,0.000808828,0.000808828
28,45.4393,0.49032,0.43765,0.86833,0.96174,0.95755,0.97723,0.90342,0.37723,0.31523,0.80476,0.000775822,0.000775822,0.000775822
29,47.0234,0.50609,0.46142,0.87005,0.95696,0.96832,0.96577,0.90366,0.36388,0.32043,0.8064,0.000742815,0.000742815,0.000742815
30,48.5909,0.50562,0.43827,0.86651,0.96303,0.95872,0.9714,0.92193,0.3678,0.30306,0.80349,0.000709809,0.000709809,0.000709809
31,50.1209,0.48105,0.43098,0.86435,0.95974,0.98409,0.97695,0.91328,0.36399,0.288,0.8028,0.000676802,0.000676802,0.000676802
32,51.6845,0.48052,0.42865,0.85972,0.95937,0.98864,0.98547,0.91452,0.38739,0.28814,0.80688,0.000643795,0.000643795,0.000643795
33,53.2875,0.48687,0.43182,0.861,0.96623,0.98118,0.98447,0.92942,0.36599,0.30166,0.80353,0.000610789,0.000610789,0.000610789
34,54.8951,0.48418,0.43793,0.86238,0.95732,0.95375,0.97369,0.90954,0.38475,0.28704,0.80865,0.000577782,0.000577782,0.000577782
35,56.4755,0.48305,0.40259,0.86346,0.93804,0.98864,0.97399,0.92224,0.34973,0.27618,0.80338,0.000544776,0.000544776,0.000544776
36,58.0636,0.47106,0.39893,0.8606,0.94106,0.98864,0.97992,0.92821,0.35021,0.26522,0.8009,0.000511769,0.000511769,0.000511769
37,59.6456,0.47594,0.40134,0.85589,0.95452,0.97701,0.98136,0.92673,0.34649,0.27783,0.79922,0.000478762,0.000478762,0.000478762
38,61.2796,0.47327,0.39038,0.86285,0.95057,0.97541,0.9758,0.91959,0.34854,0.27335,0.80276,0.000445756,0.000445756,0.000445756
39,62.8391,0.46445,0.37851,0.85512,0.96489,0.97563,0.97858,0.92564,0.34472,0.27343,0.80061,0.000412749,0.000412749,0.000412749
40,64.3886,0.46046,0.37196,0.85751,0.95095,0.98579,0.97567,0.91707,0.3621,0.26368,0.80368,0.000379743,0.000379743,0.000379743
41,75.5625,0.39107,0.28115,0.83219,0.9396,0.98723,0.97868,0.92452,0.34488,0.26879,0.7986,0.000346736,0.000346736,0.000346736
42,76.6367,0.38793,0.2876,0.82294,0.9468,0.97035,0.98204,0.9236,0.35605,0.26348,0.79762,0.000313729,0.000313729,0.000313729
43,77.7206,0.37951,0.27247,0.82496,0.94433,0.97701,0.98506,0.9244,0.3664,0.26655,0.8004,0.000280723,0.000280723,0.000280723
44,78.7936,0.37441,0.25899,0.83025,0.94533,0.97684,0.98684,0.93239,0.3441,0.26602,0.79639,0.000247716,0.000247716,0.000247716
45,79.8956,0.37255,0.26572,0.82419,0.94556,0.97559,0.98632,0.93372,0.34438,0.26811,0.7974,0.00021471,0.00021471,0.00021471
46,81.0186,0.36834,0.25921,0.8185,0.94521,0.97523,0.98486,0.93522,0.34936,0.26457,0.79829,0.000181703,0.000181703,0.000181703
47,82.1296,0.37187,0.24546,0.83317,0.94407,0.97481,0.98791,0.94088,0.33561,0.2573,0.79565,0.000148696,0.000148696,0.000148696
48,83.2314,0.36658,0.25484,0.82984,0.94206,0.97514,0.9898,0.9409,0.33066,0.26356,0.79483,0.00011569,0.00011569,0.00011569
49,84.3445,0.36711,0.24822,0.82957,0.94033,0.97697,0.98997,0.94007,0.33023,0.25549,0.79591,8.26832e-05,8.26832e-05,8.26832e-05
50,85.4254,0.35758,0.24005,0.81988,0.94107,0.97792,0.98997,0.94183,0.33025,0.25243,0.79569,4.96766e-05,4.96766e-05,4.96766e-05
